full_text,casefolding,clean_text,tokenized,no_stopwords,stemmed,final_text
@johnnyeyyo @Jsooyeon kita berdua bertemu dipiring mbg,@johnnyeyyo @jsooyeon kita berdua bertemu dipiring mbg,kita berdua bertemu dipiring mbg,"['kita', 'berdua', 'bertemu', 'dipiring', 'mbg']","['berdua', 'bertemu', 'dipiring', 'mbg']","['dua', 'temu', 'piring', 'mbg']",dua temu piring mbg
@kompascom MBG lebih penting dari gedung sekolahan / sarana pendidikan isi perut dan isi otak harusnya seimbang .,@kompascom mbg lebih penting dari gedung sekolahan / sarana pendidikan isi perut dan isi otak harusnya seimbang .,mbg lebih penting dari gedung sekolahan sarana pendidikan isi perut dan isi otak harusnya seimbang,"['mbg', 'lebih', 'penting', 'dari', 'gedung', 'sekolahan', 'sarana', 'pendidikan', 'isi', 'perut', 'dan', 'isi', 'otak', 'harusnya', 'seimbang']","['mbg', 'gedung', 'sekolahan', 'sarana', 'pendidikan', 'isi', 'perut', 'isi', 'otak', 'seimbang']","['mbg', 'gedung', 'sekolah', 'sarana', 'didik', 'isi', 'perut', 'isi', 'otak', 'imbang']",mbg gedung sekolah sarana didik isi perut isi otak imbang
@rseocita Upgrade MBG bareng pasti lebih seru sama Prabowo,@rseocita upgrade mbg bareng pasti lebih seru sama prabowo,upgrade mbg bareng pasti lebih seru sama prabowo,"['upgrade', 'mbg', 'bareng', 'pasti', 'lebih', 'seru', 'sama', 'prabowo']","['upgrade', 'mbg', 'bareng', 'seru', 'prabowo']","['upgrade', 'mbg', 'bareng', 'seru', 'prabowo']",upgrade mbg bareng seru prabowo
@robikn Setiap hari di tv beritanya pembunuhan mbg &amp; kabinet laknat,@robikn setiap hari di tv beritanya pembunuhan mbg &amp; kabinet laknat,setiap hari di tv beritanya pembunuhan mbg amp kabinet laknat,"['setiap', 'hari', 'di', 'tv', 'beritanya', 'pembunuhan', 'mbg', 'amp', 'kabinet', 'laknat']","['tv', 'beritanya', 'pembunuhan', 'mbg', 'amp', 'kabinet', 'laknat']","['tv', 'berita', 'bunuh', 'mbg', 'amp', 'kabinet', 'laknat']",tv berita bunuh mbg amp kabinet laknat
salut! MBG beneran inovasi yang kita tunggu https://t.co/3ROdA9vY49,salut! mbg beneran inovasi yang kita tunggu https://t.co/3roda9vy49,salut mbg beneran inovasi yang kita tunggu,"['salut', 'mbg', 'beneran', 'inovasi', 'yang', 'kita', 'tunggu']","['salut', 'mbg', 'beneran', 'inovasi', 'tunggu']","['salut', 'mbg', 'beneran', 'inovasi', 'tunggu']",salut mbg beneran inovasi tunggu
@ifti_tahida Tingkatkan mutu MBG biar makin solid bareng Prabowo,@ifti_tahida tingkatkan mutu mbg biar makin solid bareng prabowo,tingkatkan mutu mbg biar makin solid bareng prabowo,"['tingkatkan', 'mutu', 'mbg', 'biar', 'makin', 'solid', 'bareng', 'prabowo']","['tingkatkan', 'mutu', 'mbg', 'biar', 'solid', 'bareng', 'prabowo']","['tingkat', 'mutu', 'mbg', 'biar', 'solid', 'bareng', 'prabowo']",tingkat mutu mbg biar solid bareng prabowo
@yelawpink Ternyata kasus mbg sing rak ketauan luwih akeh ya,@yelawpink ternyata kasus mbg sing rak ketauan luwih akeh ya,ternyata kasus mbg sing rak ketauan luwih akeh ya,"['ternyata', 'kasus', 'mbg', 'sing', 'rak', 'ketauan', 'luwih', 'akeh', 'ya']","['mbg', 'sing', 'rak', 'ketauan', 'luwih', 'akeh', 'ya']","['mbg', 'sing', 'rak', 'tau', 'luwih', 'akeh', 'ya']",mbg sing rak tau luwih akeh ya
ajg perutku langsung sakit abis makan ayam mbg amis bangsattttt fuckkkkkk,ajg perutku langsung sakit abis makan ayam mbg amis bangsattttt fuckkkkkk,ajg perutku langsung sakit abis makan ayam mbg amis bangsattttt fuckkkkkk,"['ajg', 'perutku', 'langsung', 'sakit', 'abis', 'makan', 'ayam', 'mbg', 'amis', 'bangsattttt', 'fuckkkkkk']","['ajg', 'perutku', 'langsung', 'sakit', 'abis', 'makan', 'ayam', 'mbg', 'amis', 'bangsattttt', 'fuckkkkkk']","['ajg', 'perut', 'langsung', 'sakit', 'abis', 'makan', 'ayam', 'mbg', 'amis', 'bangsattttt', 'fuckkkkkk']",ajg perut langsung sakit abis makan ayam mbg amis bangsattttt fuckkkkkk
Setelah MBG Purbaya Ancam Tarik Anggaran Program FLPP https://t.co/dCwZTUMl7z via @InvestorID,setelah mbg purbaya ancam tarik anggaran program flpp https://t.co/dcwztuml7z via @investorid,setelah mbg purbaya ancam tarik anggaran program flpp via,"['setelah', 'mbg', 'purbaya', 'ancam', 'tarik', 'anggaran', 'program', 'flpp', 'via']","['mbg', 'purbaya', 'ancam', 'tarik', 'anggaran', 'program', 'flpp', 'via']","['mbg', 'purbaya', 'ancam', 'tarik', 'anggar', 'program', 'flpp', 'via']",mbg purbaya ancam tarik anggar program flpp via
Contoh nih Menu MBG di Ketapang Kalbar https://t.co/poSPiWND4d,contoh nih menu mbg di ketapang kalbar https://t.co/pospiwnd4d,contoh nih menu mbg di ketapang kalbar,"['contoh', 'nih', 'menu', 'mbg', 'di', 'ketapang', 'kalbar']","['contoh', 'nih', 'menu', 'mbg', 'ketapang', 'kalbar']","['contoh', 'nih', 'menu', 'mbg', 'ketapang', 'kalbar']",contoh nih menu mbg ketapang kalbar
mbg - euro,mbg - euro,mbg euro,"['mbg', 'euro']","['mbg', 'euro']","['mbg', 'euro']",mbg euro
BGN Ungkap Alasan Susu MBG Belum 100% Produksi Lokal https://t.co/fWTpdbawGu,bgn ungkap alasan susu mbg belum 100% produksi lokal https://t.co/fwtpdbawgu,bgn ungkap alasan susu mbg belum produksi lokal,"['bgn', 'ungkap', 'alasan', 'susu', 'mbg', 'belum', 'produksi', 'lokal']","['bgn', 'alasan', 'susu', 'mbg', 'produksi', 'lokal']","['bgn', 'alas', 'susu', 'mbg', 'produksi', 'lokal']",bgn alas susu mbg produksi lokal
Demi Sukseskan Program MBG di Indonesia TNI AD Kirim Personel Pelajari Manajemen Makanan Militer Singapura https://t.co/bHRyvjaxVW,demi sukseskan program mbg di indonesia tni ad kirim personel pelajari manajemen makanan militer singapura https://t.co/bhryvjaxvw,demi sukseskan program mbg di indonesia tni ad kirim personel pelajari manajemen makanan militer singapura,"['demi', 'sukseskan', 'program', 'mbg', 'di', 'indonesia', 'tni', 'ad', 'kirim', 'personel', 'pelajari', 'manajemen', 'makanan', 'militer', 'singapura']","['sukseskan', 'program', 'mbg', 'indonesia', 'tni', 'ad', 'kirim', 'personel', 'pelajari', 'manajemen', 'makanan', 'militer', 'singapura']","['sukses', 'program', 'mbg', 'indonesia', 'tni', 'ad', 'kirim', 'personel', 'ajar', 'manajemen', 'makan', 'militer', 'singapura']",sukses program mbg indonesia tni ad kirim personel ajar manajemen makan militer singapura
Ribuan anak keracunan MBG krn salah urus. 67 santri tutup usia 5 santri difabel disisa usianya krn 'dosa konstruksi &amp; kelalaian manusia. Tradisi unik di pondok keagamaan tertentu yg selama ini tak disorot media lalu ditayangkan @TRANS7 &amp; memantik gempa hingga https://t.co/puHh0GHxn5,ribuan anak keracunan mbg krn salah urus. 67 santri tutup usia 5 santri difabel disisa usianya krn 'dosa konstruksi &amp; kelalaian manusia. tradisi unik di pondok keagamaan tertentu yg selama ini tak disorot media lalu ditayangkan @trans7 &amp; memantik gempa hingga https://t.co/puhh0ghxn5,ribuan anak keracunan mbg krn salah urus santri tutup usia santri difabel disisa usianya krn dosa konstruksi amp kelalaian manusia tradisi unik di pondok keagamaan tertentu yg selama ini tak disorot media lalu ditayangkan amp memantik gempa hingga,"['ribuan', 'anak', 'keracunan', 'mbg', 'krn', 'salah', 'urus', 'santri', 'tutup', 'usia', 'santri', 'difabel', 'disisa', 'usianya', 'krn', 'dosa', 'konstruksi', 'amp', 'kelalaian', 'manusia', 'tradisi', 'unik', 'di', 'pondok', 'keagamaan', 'tertentu', 'yg', 'selama', 'ini', 'tak', 'disorot', 'media', 'lalu', 'ditayangkan', 'amp', 'memantik', 'gempa', 'hingga']","['ribuan', 'anak', 'keracunan', 'mbg', 'krn', 'salah', 'urus', 'santri', 'tutup', 'usia', 'santri', 'difabel', 'disisa', 'usianya', 'krn', 'dosa', 'konstruksi', 'amp', 'kelalaian', 'manusia', 'tradisi', 'unik', 'pondok', 'keagamaan', 'yg', 'disorot', 'media', 'ditayangkan', 'amp', 'memantik', 'gempa']","['ribu', 'anak', 'racun', 'mbg', 'krn', 'salah', 'urus', 'santri', 'tutup', 'usia', 'santri', 'difabel', 'sisa', 'usia', 'krn', 'dosa', 'konstruksi', 'amp', 'lalai', 'manusia', 'tradisi', 'unik', 'pondok', 'agama', 'yg', 'sorot', 'media', 'tayang', 'amp', 'mantik', 'gempa']",ribu anak racun mbg krn salah urus santri tutup usia santri difabel sisa usia krn dosa konstruksi amp lalai manusia tradisi unik pondok agama yg sorot media tayang amp mantik gempa
