"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1978390764208996429","Wed Oct 15 09:21:29 +0000 2025","0","TKD itu fondasi tapi tanpa strategi seperti MBG hasilnya gak akan nyampe ke dapur warga. #tkd #gasssnow https://t.co/qcg2zqjLc1","1978390764208996429","https://pbs.twimg.com/media/G3Sn6UhaoAAluiW.jpg","","in","","0","0","0","https://x.com/undefined/status/1978390764208996429","1711351304541593600",
"1978390763584028970","Wed Oct 15 09:21:29 +0000 2025","0","Kalau dikelola dengan cara kayak MBG TKD bisa jadi instrumen pemerataan ekonomi bukan cuma transfer angka. #tkd #gasssnow https://t.co/IaDjGRBxVR","1978390763584028970","https://pbs.twimg.com/media/G3Sn6K4bcAAnG_S.jpg","","in","","0","0","0","https://x.com/undefined/status/1978390763584028970","1737479043774038016",
"1978390692968673283","Wed Oct 15 09:21:12 +0000 2025","0","Masyarakat Papua merasakan manfaat program MBG dan Koperasi Merah Putih! Bagaimana pendapatmu tentang dampaknya? #PapuaDalamHatiNegeri https://t.co/V7HLtj8fwS","1978390692968673283","https://pbs.twimg.com/media/G3Sn2ZVXwAAsPH7.jpg","","in","","0","0","0","https://x.com/undefined/status/1978390692968673283","1877195522106441728",
"1978390611288826218","Wed Oct 15 09:20:53 +0000 2025","0","Pembudidaya ikan nila di Farm Feed Cimahi Sukabumi Jawa Barat Abdullah Agus Salim berharap produksi ikan yang menjadi komoditas. https://t.co/HnRz47bgRs","1978390611288826218","","","in","","0","0","0","https://x.com/undefined/status/1978390611288826218","18071520",
"1978390600295538739","Wed Oct 15 09:20:50 +0000 2025","0","Irma Suryani Khawatir Anggaran MBG tidak Terserap Maksimal https://t.co/aob4l9Gvsz","1978390600295538739","","","in","","0","0","0","https://x.com/undefined/status/1978390600295538739","1449118865670111233",
"1978385366127128933","Wed Oct 15 09:20:12 +0000 2025","0","@ARSIPAJA Presiden yg dari lahir gk pernah ngerasain susah ngitung anggaran MBG seporsi 10rb rupiah.. Gak percaya gw Pasti pembisik2nya yg ngasi masukkan.","1978390439297225128","","ARSIPAJA","in","","0","0","0","https://x.com/undefined/status/1978390439297225128","1030954200417558528",
"1978099620950450483","Wed Oct 15 09:19:46 +0000 2025","0","@BariArjon @MBG_Watch @Gerindra Tim siber atau ....... info lowker jadi tim siber nya tolong alhamdulillah ada lowongan kerja","1978390330270482606","","BariArjon","in","","0","0","0","https://x.com/undefined/status/1978390330270482606","1584058228295360513",
"1978099779088400765","Wed Oct 15 09:19:03 +0000 2025","0","@KucengTerbanggg Lagi pengen mengungkapkan bahwa budaya KKN sudah menyelimuti program MBG ini juga terjadi di rumah aja ngurus anak yang tidak bisa lagi menahan semua orang yang tidak bisa lagi menyayangimu","1978390150301323740","","KucengTerbanggg","in","","0","0","0","https://x.com/undefined/status/1978390150301323740","1307442758114705408",
"1977689753408668156","Wed Oct 15 09:19:00 +0000 2025","0","@soulmourned pa wowo mana makan mbg gratisnya","1978390138334990681","","soulmourned","in","","0","0","0","https://x.com/undefined/status/1978390138334990681","1343480994846797824",
"1978390131623985479","Wed Oct 15 09:18:58 +0000 2025","0","MBG HRUSNYA BEGINI ‍↕️ https://t.co/hMB2yBqgtp","1978390131623985479","","","in","","0","0","0","https://x.com/undefined/status/1978390131623985479","826328089198096384",
"1978390026191835380","Wed Oct 15 09:18:33 +0000 2025","0","Syeh Bahlil Al-Golkariyah MBG. TMBG. LPG . STW","1978390026191835380","","","in","","0","0","0","https://x.com/undefined/status/1978390026191835380","1787138163775041536",
"1978389948697870534","Wed Oct 15 09:18:15 +0000 2025","0","Kalo merokok dilingkungan sekolah dinormalisasikan besok2 MBG kasih rokok lah sebatang disebelah nasi.","1978389948697870534","","","in","","0","0","0","https://x.com/undefined/status/1978389948697870534","432539302",
"1978389883086368865","Wed Oct 15 09:17:59 +0000 2025","1","Coba infokan tempat makan yg bisa dapet 10rb ayam+telor selain dapur mbg","1978389883086368865","","","in","","0","0","0","https://x.com/undefined/status/1978389883086368865","1065849990952566785",
"1978389792283930836","Wed Oct 15 09:17:37 +0000 2025","0","Mbappe maem MBG ","1978389792283930836","","","in","","0","0","0","https://x.com/undefined/status/1978389792283930836","1642407084",
"1978389723849822616","Wed Oct 15 09:17:24 +0000 2025","0","Ia juga menyebutkan banyak warga yang meminta program itu tetap dijalankan mengingat manfaatnya yang mulai terasa. Ia menyadari tantangan realisasi program MBG memang tak mudah. Namun banyak di negara lain yang sudah berhasil dan merasakan manfaatnya. https://t.co/2Ch39ugz0S","1978389735853703638","https://pbs.twimg.com/media/G3Sm-caaAAAF_Xm.jpg","inilahdotcom","in","","0","0","0","https://x.com/undefined/status/1978389735853703638","46693036",
