conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,casefolding
1976628530705289330,Fri Oct 10 12:39:00 +0000 2025,0,MBG ketahanan pangan dan energi semuanya nyambung Pak. Krisis iklim bisa ganggu produksi pangan dan bikin biaya MBG melonjak sementara transisi ke energi bersih justru bisa bantu tekan risikonya. Semoga pembahasannya juga arahkan dukungan nyata ke solusi rendah karbon ya! https://t.co/CnT8Ynq6EJ,1976628530705289330,https://pbs.twimg.com/media/G2492g6agAAUsT8.jpg,,in,,0,0,0,https://x.com/undefined/status/1976628530705289330,72763910,,mbg ketahanan pangan dan energi semuanya nyambung pak. krisis iklim bisa ganggu produksi pangan dan bikin biaya mbg melonjak sementara transisi ke energi bersih justru bisa bantu tekan risikonya. semoga pembahasannya juga arahkan dukungan nyata ke solusi rendah karbon ya! https://t.co/cnt8ynq6ej
1976497924801761292,Fri Oct 10 12:38:20 +0000 2025,0,@tempodotco Makin berat saja beban MBG ini. Habis brp lagi untuk bayarin chef chef itu sementara budget makanannya sudah minim. Moga segera ketemu formula terbaik buat bangsa ini sehingga sumber daya termanfaatkan dengan baik untuk kemakmuran rakyat seutuhnya,1976628363042476440,,tempodotco,in,,0,0,0,https://x.com/undefined/status/1976628363042476440,1397457447313231873,,@tempodotco makin berat saja beban mbg ini. habis brp lagi untuk bayarin chef chef itu sementara budget makanannya sudah minim. moga segera ketemu formula terbaik buat bangsa ini sehingga sumber daya termanfaatkan dengan baik untuk kemakmuran rakyat seutuhnya
1976628219303604255,Fri Oct 10 12:37:46 +0000 2025,0,Dindikbud Kota Serang Akan Sidak Dapur Penyedia MBG Pastikan Hidangan Sehat dan Higienis https://t.co/518QGhy88x,1976628219303604255,,,in,,0,0,0,https://x.com/undefined/status/1976628219303604255,775598663024259072,,dindikbud kota serang akan sidak dapur penyedia mbg pastikan hidangan sehat dan higienis https://t.co/518qghy88x
1976627935844216987,Fri Oct 10 12:36:38 +0000 2025,0,Diduga Basi SDN 2 Dinoyo Kembalikan Makanan Program MBG di Kota Malang https://t.co/GYBTpv04YY,1976627935844216987,,,in,,0,0,0,https://x.com/undefined/status/1976627935844216987,535213390,,diduga basi sdn 2 dinoyo kembalikan makanan program mbg di kota malang https://t.co/gybtpv04yy
1976507099187380551,Fri Oct 10 12:36:32 +0000 2025,0,@DS_yantie Tinggal kasih MBG nya ke walikelas 4 hari,1976627910934180186,,DS_yantie,in,,0,0,0,https://x.com/undefined/status/1976627910934180186,1540615733138583552,,@ds_yantie tinggal kasih mbg nya ke walikelas 4 hari
1976601041878851983,Fri Oct 10 12:35:50 +0000 2025,0,@Zhe_LeeCrystal @FunJunkies Apa bedanya sama pemerintah yang luncurin MBG yang ngasih makan mulu tapi pendidikan dan kesehatannya dijadiin prioritas pendukung? Pantesan presiden wapresnya Wowo dan Fufufafa kalo masih pikirannya sempit begitu.,1976627732713976102,,fauvineyard,in,,0,0,0,https://x.com/undefined/status/1976627732713976102,928064503505235968,,@zhe_leecrystal @funjunkies apa bedanya sama pemerintah yang luncurin mbg yang ngasih makan mulu tapi pendidikan dan kesehatannya dijadiin prioritas pendukung? pantesan presiden wapresnya wowo dan fufufafa kalo masih pikirannya sempit begitu.
1976627374587519045,Fri Oct 10 12:34:24 +0000 2025,180,Orang tua dari anak yang menjadi korban keracunan MBG mengaku bahwa dirinya sempat diminta untuk tutup mulut terkait kejadian yang menimpa anaknya https://t.co/fUKGqRJedW,1976627374587519045,https://pbs.twimg.com/amplify_video_thumb/1976627044013539328/img/YxZlOG52xXemB6Lr.jpg,,in,,5,10,103,https://x.com/undefined/status/1976627374587519045,1178950184601935873,,orang tua dari anak yang menjadi korban keracunan mbg mengaku bahwa dirinya sempat diminta untuk tutup mulut terkait kejadian yang menimpa anaknya https://t.co/fukgqrjedw
1976627278445695355,Fri Oct 10 12:34:01 +0000 2025,0,Program MBG jadikan anak sehat dan ekonomi bergerak https://t.co/M7UYau649n,1976627278445695355,https://pbs.twimg.com/media/G25kCOdbUAEw-zQ.jpg,,in,,0,0,0,https://x.com/undefined/status/1976627278445695355,2354223986,,program mbg jadikan anak sehat dan ekonomi bergerak https://t.co/m7uyau649n
1976627112733032691,Fri Oct 10 12:33:22 +0000 2025,1,katanya tgl 20 nanti bakal ada mbg di skolah ku semoga bener deh..,1976627112733032691,,,in,,0,0,0,https://x.com/undefined/status/1976627112733032691,1861348645125369856,,katanya tgl 20 nanti bakal ada mbg di skolah ku semoga bener deh..
1976626505238372684,Fri Oct 10 12:30:57 +0000 2025,0,dri banyaknya kasus keracunan mbg ternyata ada org tua yg ngelarang anaknya makan itu,1976626505238372684,,,in,,0,0,0,https://x.com/undefined/status/1976626505238372684,1713865699616321536,,dri banyaknya kasus keracunan mbg ternyata ada org tua yg ngelarang anaknya makan itu
